IL_SMILES,fp_0_mol_0,fp_1_mol_0,fp_2_mol_0,fp_3_mol_0,fp_4_mol_0,fp_5_mol_0,fp_6_mol_0,fp_7_mol_0,fp_8_mol_0,fp_9_mol_0,fp_10_mol_0,fp_11_mol_0,fp_12_mol_0,fp_13_mol_0,fp_14_mol_0,fp_15_mol_0,fp_16_mol_0,fp_17_mol_0,fp_18_mol_0,fp_19_mol_0,fp_20_mol_0,fp_21_mol_0,fp_22_mol_0,fp_23_mol_0,fp_24_mol_0,fp_25_mol_0,fp_26_mol_0,fp_27_mol_0,fp_28_mol_0,fp_29_mol_0,fp_30_mol_0,fp_31_mol_0,fp_32_mol_0,fp_33_mol_0,fp_34_mol_0,fp_35_mol_0,fp_36_mol_0,fp_37_mol_0,fp_38_mol_0,fp_39_mol_0,fp_40_mol_0,fp_41_mol_0,fp_42_mol_0,fp_43_mol_0,fp_44_mol_0,fp_45_mol_0,fp_46_mol_0,fp_47_mol_0,fp_48_mol_0,fp_49_mol_0,fp_50_mol_0,fp_51_mol_0,fp_52_mol_0,fp_53_mol_0,fp_54_mol_0,fp_55_mol_0,fp_56_mol_0,fp_57_mol_0,fp_58_mol_0,fp_59_mol_0,fp_60_mol_0,fp_61_mol_0,fp_62_mol_0,fp_63_mol_0,fp_64_mol_0,fp_65_mol_0,fp_66_mol_0,fp_67_mol_0,fp_68_mol_0,fp_69_mol_0,fp_70_mol_0,fp_71_mol_0,fp_72_mol_0,fp_73_mol_0,fp_74_mol_0,fp_75_mol_0,fp_76_mol_0,fp_77_mol_0,fp_78_mol_0,fp_79_mol_0,fp_80_mol_0,fp_81_mol_0,fp_82_mol_0,fp_83_mol_0,fp_84_mol_0,fp_85_mol_0,fp_86_mol_0,fp_87_mol_0,fp_88_mol_0,fp_89_mol_0,fp_90_mol_0,fp_91_mol_0,fp_92_mol_0,fp_93_mol_0,fp_94_mol_0,fp_95_mol_0,fp_96_mol_0,fp_97_mol_0,fp_98_mol_0,fp_99_mol_0,fp_100_mol_0,fp_101_mol_0,fp_102_mol_0,fp_103_mol_0,fp_104_mol_0,fp_105_mol_0,fp_106_mol_0,fp_107_mol_0,fp_108_mol_0,fp_109_mol_0,fp_110_mol_0,fp_111_mol_0,fp_112_mol_0,fp_113_mol_0,fp_114_mol_0,fp_115_mol_0,fp_116_mol_0,fp_117_mol_0,fp_118_mol_0,fp_119_mol_0,fp_120_mol_0,fp_121_mol_0,fp_122_mol_0,fp_123_mol_0,fp_124_mol_0,fp_125_mol_0,fp_126_mol_0,fp_127_mol_0,fp_128_mol_0,fp_129_mol_0,fp_130_mol_0,fp_131_mol_0,fp_132_mol_0,fp_133_mol_0,fp_134_mol_0,fp_135_mol_0,fp_136_mol_0,fp_137_mol_0,fp_138_mol_0,fp_139_mol_0,fp_140_mol_0,fp_141_mol_0,fp_142_mol_0,fp_143_mol_0,fp_144_mol_0,fp_145_mol_0,fp_146_mol_0,fp_147_mol_0,fp_148_mol_0,fp_149_mol_0,fp_150_mol_0,fp_151_mol_0,fp_152_mol_0,fp_153_mol_0,fp_154_mol_0,fp_155_mol_0,fp_156_mol_0,fp_157_mol_0,fp_158_mol_0,fp_159_mol_0,fp_160_mol_0,fp_161_mol_0,fp_162_mol_0,fp_163_mol_0,fp_164_mol_0,fp_165_mol_0,fp_166_mol_0,fp_167_mol_0,fp_168_mol_0,fp_169_mol_0,fp_170_mol_0,fp_171_mol_0,fp_172_mol_0,fp_173_mol_0,fp_174_mol_0,fp_175_mol_0,fp_176_mol_0,fp_177_mol_0,fp_178_mol_0,fp_179_mol_0,fp_180_mol_0,fp_181_mol_0,fp_182_mol_0,fp_183_mol_0,fp_184_mol_0,fp_185_mol_0,fp_186_mol_0,fp_187_mol_0,fp_188_mol_0,fp_189_mol_0,fp_190_mol_0,fp_191_mol_0,fp_192_mol_0,fp_193_mol_0,fp_194_mol_0,fp_195_mol_0,fp_196_mol_0,fp_197_mol_0,fp_198_mol_0,fp_199_mol_0,fp_200_mol_0,fp_201_mol_0,fp_202_mol_0,fp_203_mol_0,fp_204_mol_0,fp_205_mol_0,fp_206_mol_0,fp_207_mol_0,fp_208_mol_0,fp_209_mol_0,fp_210_mol_0,fp_211_mol_0,fp_212_mol_0,fp_213_mol_0,fp_214_mol_0,fp_215_mol_0,fp_216_mol_0,fp_217_mol_0,fp_218_mol_0,fp_219_mol_0,fp_220_mol_0,fp_221_mol_0,fp_222_mol_0,fp_223_mol_0,fp_224_mol_0,fp_225_mol_0,fp_226_mol_0,fp_227_mol_0,fp_228_mol_0,fp_229_mol_0,fp_230_mol_0,fp_231_mol_0,fp_232_mol_0,fp_233_mol_0,fp_234_mol_0,fp_235_mol_0,fp_236_mol_0,fp_237_mol_0,fp_238_mol_0,fp_239_mol_0,fp_240_mol_0,fp_241_mol_0,fp_242_mol_0,fp_243_mol_0,fp_244_mol_0,fp_245_mol_0,fp_246_mol_0,fp_247_mol_0,fp_248_mol_0,fp_249_mol_0,fp_250_mol_0,fp_251_mol_0,fp_252_mol_0,fp_253_mol_0,fp_254_mol_0,fp_255_mol_0,fp_256_mol_0,fp_257_mol_0,fp_258_mol_0,fp_259_mol_0,fp_260_mol_0,fp_261_mol_0,fp_262_mol_0,fp_263_mol_0,fp_264_mol_0,fp_265_mol_0,fp_266_mol_0,fp_267_mol_0,fp_268_mol_0,fp_269_mol_0,fp_270_mol_0,fp_271_mol_0,fp_272_mol_0,fp_273_mol_0,fp_274_mol_0,fp_275_mol_0,fp_276_mol_0,fp_277_mol_0,fp_278_mol_0,fp_279_mol_0,fp_280_mol_0,fp_281_mol_0,fp_282_mol_0,fp_283_mol_0,fp_284_mol_0,fp_285_mol_0,fp_286_mol_0,fp_287_mol_0,fp_288_mol_0,fp_289_mol_0,fp_290_mol_0,fp_291_mol_0,fp_292_mol_0,fp_293_mol_0,fp_294_mol_0,fp_295_mol_0,fp_296_mol_0,fp_297_mol_0,fp_298_mol_0,fp_299_mol_0
CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,0.0008497480885125697,0.04030263423919678,0.009719518944621086,0.09239303320646286,0.0005315231974236667,0.0,0.021991580724716187,0.0013670716434717178,0.0015979042509570718,0.03806145116686821,0.0028840878512710333,0.01806582696735859,0.0003051282255910337,0.0,0.0,0.008493099361658096,0.03664929419755936,0.002101023681461811,0.0027543131727725267,0.018170839175581932,0.003735798178240657,0.10961282253265381,0.011272766627371311,0.1059315875172615,0.0,0.2788035273551941,0.0,0.053551629185676575,0.005955370608717203,0.0,0.0,0.0,0.055636778473854065,0.014126083813607693,0.0044263629242777824,0.029445892199873924,0.008116068318486214,0.00444222753867507,0.05771920457482338,0.0,0.0,0.0,0.0,0.010042313486337662,0.0010331133380532265,0.0,0.03127934783697128,0.0,0.00696266395971179,0.0,0.0,0.07193929702043533,0.015052535571157932,0.0030424585565924644,0.023598860949277878,0.004767758306115866,0.00495568523183465,0.0,0.005824247840791941,0.008733165450394154,0.00472728768363595,0.0,0.0,0.014410624280571938,0.014637541025876999,0.0,0.3713432252407074,0.0,0.0,0.17118984460830688,0.0036047804169356823,0.0,0.0023980219848454,0.033507175743579865,0.006050002295523882,0.0,0.00011770432320190594,0.0427144430577755,0.00879595521837473,0.0,0.0045906961895525455,0.11271914094686508,0.1713908314704895,0.0,0.002266516210511327,0.013418762013316154,0.2381092607975006,0.0,0.04610595479607582,0.0,0.0,0.0,0.00019144116959068924,0.11880078166723251,0.0,0.08755483478307724,0.26409685611724854,0.1388176530599594,0.0,0.036914680153131485,0.013781161978840828,0.02383977547287941,0.013728868216276169,0.016778230667114258,0.0,0.00643465481698513,0.0,0.2236621081829071,0.0,0.013008956797420979,0.0,0.002218998037278652,0.001167724491097033,0.008030311204493046,0.01943911798298359,0.0,0.010365976952016354,0.0,0.010676426813006401,0.023393267765641212,0.0,0.0013335406547412276,0.006201934535056353,0.0006893440731801093,0.004081886261701584,0.006178798619657755,0.007245458196848631,0.002099864184856415,0.0,0.00034328337642364204,0.11001559346914291,0.12512826919555664,0.0010491788852959871,0.5014912486076355,0.005329531151801348,0.0,0.0,0.0075438618659973145,0.0,0.0,0.004377890843898058,0.0033469966147094965,0.002706421772018075,0.23553447425365448,0.006061437074095011,3.077301153098233e-05,0.009790626354515553,0.22026750445365906,0.0,0.009784059599041939,0.18105316162109375,0.0,0.0034780462738126516,0.0030986869242042303,0.1018737405538559,0.0,0.1417931765317917,0.002722682897001505,0.2719132602214813,0.02597030997276306,0.005816109478473663,0.05530162528157234,0.0,0.0,0.01629529520869255,0.01653837226331234,0.0,0.02141788974404335,0.0,0.01547135692089796,0.003304694779217243,0.009159906767308712,0.0006857223925180733,0.24023593962192535,0.026083845645189285,0.0,0.00019701816199813038,0.0,0.005729025695472956,0.16971836984157562,0.014485428109765053,0.0037797593977302313,0.0,0.02632821910083294,0.26083698868751526,0.15928661823272705,0.02074076049029827,0.0012868775520473719,0.11254334449768066,0.0038735680282115936,0.013721734285354614,0.006306619383394718,0.018645210191607475,0.07187822461128235,0.16120517253875732,0.022035757079720497,0.0,0.02924647182226181,0.010333197191357613,0.06590873748064041,0.05145309492945671,0.021237222477793694,0.0,0.25705936551094055,0.010913426987826824,0.03328763321042061,0.0,0.0,0.016161220148205757,0.10900052636861801,0.0,0.0009507191134616733,0.13479745388031006,0.006472074892371893,0.0,0.0,0.0,0.007699435111135244,0.0,0.009473663754761219,0.018650680780410767,0.002284795278683305,0.0,0.0016663906862959266,0.043801531195640564,0.002236354863271117,0.0,0.13813848793506622,0.007104714401066303,0.16269084811210632,0.0005055910442024469,0.21197374165058136,0.16187722980976105,0.17515933513641357,0.0,0.0,0.0003258470387663692,0.008324922993779182,0.035900797694921494,0.010248583741486073,0.0021288793068379164,0.0025127639528363943,0.20211568474769592,0.1270861178636551,0.001773281954228878,0.0009622268262319267,0.0,0.00422169454395771,0.0,0.0,0.35132503509521484,0.0175053421407938,0.004638033453375101,0.01831001043319702,0.010130183771252632,0.0,0.0013930598506703973,0.0014141243882477283,0.0005404583062045276,0.0011134612141177058,0.0,0.0,0.3257219195365906,0.06819648295640945,0.0,0.031171392649412155,0.0,0.0,0.005176178179681301,0.0,0.008926820009946823,0.0,0.014927923679351807,0.026336392387747765,0.04360941797494888,0.0,0.0,0.009145940653979778,0.004296311177313328,0.35245805978775024,0.047613475471735,0.00893398653715849,0.09535820782184601,0.0,0.006201480515301228,0.07534754276275635,0.0,0.03282785043120384,0.0006347660673782229,0.0006282306858338416,0.23769405484199524,0.0014964942820370197,0.0,0.0,0.06844648718833923,0.0,0.006038447376340628,0.0,0.0,0.1869802623987198
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.0028803583700209856,0.03305618092417717,0.014796965755522251,0.11195310950279236,0.00434138486161828,6.240633229026571e-05,0.04340222105383873,0.001142576802521944,0.0012778962263837457,0.052421025931835175,0.0020374483428895473,0.01460754033178091,0.0,0.0,0.0023809075355529785,0.0014659659937024117,0.036651428788900375,0.02141820453107357,0.04968782141804695,0.01473626121878624,0.0029626204632222652,0.14967212080955505,0.014591011218726635,0.09405442327260971,0.0,0.26363351941108704,0.007954691536724567,0.05481217801570892,0.018997689709067345,0.0,0.0,0.0,0.03192232549190521,0.08265059441328049,0.018980568274855614,0.045528072863817215,0.004588689189404249,0.0,0.05198461562395096,0.0,0.0,0.0,0.0,0.026457177475094795,0.018480617552995682,0.0,0.02510620467364788,0.011504344642162323,0.01099331583827734,0.0019430636893957853,0.004242825321853161,0.06060444936156273,0.020572591572999954,0.05185187980532646,0.03800021484494209,0.009538395330309868,0.012460373342037201,0.0,0.04195936396718025,0.002599762286990881,0.009196791797876358,0.0011466305004432797,0.0,0.039836231619119644,0.022784240543842316,0.0,0.35107988119125366,0.0,0.0023369409609586,0.11711398512125015,0.009278877638280392,0.01809452287852764,0.01990344189107418,0.03664277121424675,0.007685318123549223,0.0,0.001583179458975792,0.039490122348070145,0.002830913756042719,0.0,0.015803350135684013,0.09803122282028198,0.16013407707214355,0.0,0.03749947249889374,0.032282184809446335,0.2496328353881836,0.0,0.022152042016386986,0.0,0.0,0.0,0.0,0.1020810529589653,0.0,0.11047693341970444,0.22753165662288666,0.12210460752248764,0.0021892073564231396,0.06528361141681671,0.020656244829297066,0.05887269973754883,0.020402833819389343,0.03605601564049721,0.0,0.03896884247660637,0.0,0.22985336184501648,0.0,0.060328565537929535,0.0040817707777023315,0.008473879657685757,0.0,0.0009318804950453341,0.006038658786565065,0.0,0.00018569741223473102,0.0,0.010682156309485435,0.03986895829439163,0.0,0.015519645065069199,0.009398049674928188,0.0033860376570373774,0.01746561750769615,0.0077685099095106125,0.011606826446950436,0.010431431233882904,0.0,0.0,0.10477816313505173,0.12394613772630692,0.0075055998750030994,0.5583184957504272,0.014664726331830025,0.0,0.0,0.0013652252964675426,0.0,0.0,0.0072472672909498215,0.008424992673099041,0.0004465829115360975,0.21625150740146637,0.01942763663828373,0.0037594155874103308,0.018113812431693077,0.1626485288143158,0.0,0.012565204873681068,0.21699286997318268,0.0,0.015924429520964622,0.0016417151782661676,0.16587750613689423,0.0,0.13876287639141083,0.003494521602988243,0.25313428044319153,0.05881112068891525,0.006830407306551933,0.032842691987752914,0.0,0.0,0.04818332567811012,0.023932190611958504,0.002752215601503849,0.020854134112596512,0.003765322035178542,0.007062248885631561,0.002758002607151866,0.018026934936642647,0.003759824438020587,0.21864518523216248,0.02491300366818905,0.0009094654233194888,0.002828598255291581,0.0,0.006605399772524834,0.16954447329044342,0.006380707956850529,0.0035997710656374693,0.00010884606308536604,0.015943745151162148,0.2582300305366516,0.20599700510501862,0.027422063052654266,0.007003410253673792,0.10997771471738815,0.0,0.012695697136223316,0.007394652813673019,0.04970957711338997,0.10333467274904251,0.10622379183769226,0.014584101736545563,0.0,0.013113437220454216,0.039230141788721085,0.11466723680496216,0.04145394638180733,0.04501136764883995,0.0,0.23167778551578522,0.017293255776166916,0.03470829501748085,0.0,0.0,0.02012825757265091,0.10382126271724701,0.0,0.0035397354513406754,0.18582221865653992,0.0,0.0,0.0,0.00607670983299613,0.015162880532443523,0.0,0.023002900183200836,0.03405895084142685,0.0,0.0,0.0,0.011541795916855335,0.0007189944153651595,0.0024119752924889326,0.11519654095172882,0.0011513755889609456,0.1898738592863083,0.0065508391708135605,0.2141140252351761,0.16341432929039001,0.17253899574279785,6.596181628992781e-05,0.0052400436252355576,0.002701121848076582,0.004798831883817911,0.02974647842347622,0.0009606950916349888,0.003637955989688635,0.0067591299302875996,0.1809479296207428,0.13561853766441345,0.01086980476975441,0.008898923173546791,0.006218597758561373,0.01945226825773716,0.0,0.0014237761497497559,0.3345585763454437,0.01479872316122055,0.0038402455393224955,0.0,0.009919573552906513,0.0,0.0,0.011065244674682617,0.013125556521117687,0.0,0.0,0.0,0.26752403378486633,0.06402325630187988,0.0,0.0405769944190979,0.0,0.0,0.0025001971516758204,0.0,0.03964471071958542,0.0,0.02502353861927986,0.03163516893982887,0.06957954913377762,0.0025239000096917152,0.0,0.0,0.0055374447256326675,0.354509174823761,0.06050075218081474,0.01388702355325222,0.11905305087566376,0.015927862375974655,0.011080347001552582,0.1031254380941391,0.010020069777965546,0.04191526025533676,0.0006973833660595119,0.0,0.23871086537837982,0.008317625150084496,0.0,0.0,0.05620952695608139,0.0,0.008878454566001892,0.0049148062244057655,0.0,0.22656729817390442
CCCCC/C=C\C/C=C\CCCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C,0.0006279866211116314,0.022839857265353203,0.07434730976819992,0.06403384357690811,0.024808485060930252,0.0,0.008066559210419655,0.0,0.0,0.09761360287666321,0.005458500236272812,0.008095004595816135,0.013898382894694805,0.0,0.0,0.008890475146472454,0.043441276997327805,0.21624594926834106,0.1423242837190628,0.009270665235817432,0.003620094619691372,0.14781317114830017,0.004326942376792431,0.05729464069008827,0.0,0.2660137712955475,0.02343251183629036,0.14468446373939514,0.005762661341577768,0.23229295015335083,0.0,0.0,0.08216150104999542,0.17776133120059967,0.017202280461788177,0.042053330689668655,0.008356968872249126,0.00245824852026999,0.04192912206053734,0.0,0.04826670140028,0.0,0.003593852510675788,0.24145197868347168,0.0,0.0,0.013333025388419628,0.08842694759368896,0.001967262476682663,0.0,0.045822177082300186,0.04707900062203407,0.014792345464229584,0.14291821420192719,0.013485605828464031,0.051443204283714294,0.0,0.0,0.09643381088972092,0.009217074140906334,0.0022621548268944025,0.0,0.0,0.0017189851496368647,0.021954674273729324,0.0,0.45773378014564514,0.0,0.001837266725488007,0.11981108039617538,0.00712507264688611,0.10047277063131332,0.261793315410614,0.0307916309684515,0.0213171299546957,0.0,0.0,0.03476385027170181,0.0036543430760502815,0.0,0.0036727641709148884,0.23337824642658234,0.09934895485639572,0.0,0.2665887475013733,0.010402485728263855,0.26013869047164917,0.0,0.024190658703446388,0.0,0.0,0.0,0.00020808808039873838,0.06060618907213211,0.0,0.21225181221961975,0.20235782861709595,0.09070137143135071,0.0006531491526402533,0.02829858288168907,0.010757205076515675,0.03176768869161606,0.007704484276473522,0.21875454485416412,0.0,0.017747897654771805,0.0,0.20036447048187256,0.0,0.16907203197479248,0.30084553360939026,0.0,0.0008182433666661382,0.007312931586056948,0.00871757511049509,0.024606257677078247,0.004871235229074955,0.0,0.05921858549118042,0.009622994810342789,0.0,0.20991434156894684,0.0014477259246632457,0.006568774580955505,0.0,0.0069839973002672195,0.02814517915248871,0.0035139985848218203,0.0,0.0001468985283281654,0.07960548996925354,0.18161067366600037,0.0,0.4845746159553528,0.0,0.0,0.002344155218452215,0.0019197160145267844,0.0,0.0,0.0,0.17958799004554749,0.001990817254409194,0.29128000140190125,0.0,0.007178418803960085,0.030846046283841133,0.14374135434627533,0.0,0.008073796518146992,0.30052006244659424,0.0,0.08896766602993011,0.040599655359983444,0.14312787353992462,0.0,0.1609722226858139,0.0019902102649211884,0.2604651153087616,0.052844565361738205,0.008670378476381302,0.02542160637676716,0.0,0.0,0.005623262841254473,0.005530879832804203,0.20714540779590607,0.1273314207792282,0.003647938370704651,0.010100487619638443,0.0020614503882825375,0.004366727080196142,0.00024849650799296796,0.25366681814193726,0.11027340590953827,0.051968276500701904,0.0057159713469445705,0.0,0.006193667650222778,0.18305961787700653,0.007986928336322308,0.007450426463037729,0.00038183925789780915,0.010628963820636272,0.2709416449069977,0.24360615015029907,0.07019507884979248,0.20838111639022827,0.04841345548629761,0.0020042485557496548,0.02441289648413658,0.006161227356642485,0.005995741579681635,0.10242284834384918,0.08334483206272125,0.022844532504677773,0.0,0.016749614849686623,0.14842166006565094,0.32084670662879944,0.026177411898970604,0.005243650637567043,0.0,0.16879937052726746,0.014965376816689968,0.022307343780994415,0.0,0.0,0.003259823191910982,0.2538600265979767,0.0,0.0,0.09882942587137222,0.08059758692979813,0.0,0.0,0.14674121141433716,0.04928870499134064,0.0,0.009402424097061157,0.15954583883285522,0.003804171923547983,0.0,0.003928329795598984,0.023974958807229996,0.07048478722572327,0.0,0.10545677691698074,0.0031847339123487473,0.10154310613870621,0.0325409360229969,0.13233761489391327,0.10529746115207672,0.2268734574317932,0.0,0.10035797208547592,3.2576481316937134e-05,0.004347844514995813,0.07599850744009018,0.014683240093290806,0.0013721244176849723,0.005593566689640284,0.1433931291103363,0.2709723114967346,0.23158782720565796,0.007264694664627314,0.030248209834098816,0.006361255422234535,0.1566350758075714,0.09521142393350601,0.22076097130775452,0.01258555706590414,0.0028338944539427757,0.01662050373852253,0.05071473866701126,0.0,0.00025752384681254625,0.161672443151474,0.029583465307950974,0.0033695739693939686,0.0,0.0,0.2712498903274536,0.1285301297903061,0.0,0.10053594410419464,0.0,0.0,0.04521855711936951,0.006439887452870607,0.006276651751250029,0.0,0.01633947156369686,0.0446978397667408,0.030132506042718887,0.0,0.0,0.004751973785459995,0.0,0.44443443417549133,0.09783758223056793,0.0034790383651852608,0.18689361214637756,0.12252341210842133,0.0019415959250181913,0.1569070667028427,0.23733475804328918,0.05265384167432785,0.0,0.03515387699007988,0.24482816457748413,0.030522793531417847,0.0,0.0,0.03661733493208885,0.0,0.0281668808311224,0.02394506335258484,0.0,0.14079613983631134
CCCCCCCCC(=O)N(CCCN(C)C)C(CCCCCCCCC(=O)OCC(CCCC)CCCCCC)CCCCCCCCC(=O)OCC(CCCC)CCCCCC,0.0020183823071420193,0.04091129079461098,0.014551457948982716,0.09893288463354111,0.0004977004718966782,0.0,0.009976154193282127,0.0,0.0017664376646280289,0.041030265390872955,0.0033739516511559486,0.018011467531323433,0.0002832588797900826,0.0,0.0,0.010789213702082634,0.03396060690283775,0.0023996331728994846,0.012139411643147469,0.019949954003095627,0.007024437189102173,0.10243131220340729,0.00467183580622077,0.08537949621677399,0.0,0.2646922171115875,0.0,0.06335780024528503,0.004649958107620478,0.0,0.0,0.0,0.058473795652389526,0.015651553869247437,0.0,0.04619448632001877,0.021712210029363632,0.005147204734385014,0.05125878378748894,0.0,0.0,0.0,0.0,0.011616537347435951,0.0005685791838914156,0.0,0.029087793081998825,0.0,0.004819028079509735,0.0,0.0008052178891375661,0.06888426095247269,0.0225057415664196,0.006232374347746372,0.01729167252779007,0.0009494766127318144,0.0,0.0,0.011309176683425903,0.014065245166420937,0.008141672238707542,0.0,0.0,0.0018610674887895584,0.018332749605178833,0.0,0.3796650469303131,0.0,0.000958017073571682,0.18034175038337708,0.008301027119159698,0.0,0.006226011551916599,0.040926020592451096,0.008564517833292484,0.0,0.0005054094363003969,0.0333917960524559,0.009455087594687939,0.0,0.0026397991459816694,0.11144255846738815,0.1485273838043213,0.0,0.0073211826384067535,0.013686209917068481,0.23862192034721375,0.0,0.04537379741668701,0.0,0.0,0.0,0.0,0.1013675257563591,9.70986729953438e-06,0.08799207210540771,0.2727814018726349,0.13065272569656372,0.00046945095527917147,0.026712752878665924,0.019148778170347214,0.03142135217785835,0.013742277398705482,0.025070838630199432,0.0,0.0017659225268289447,0.0,0.21615107357501984,0.0,0.02090499922633171,0.0,0.0,0.000554716563783586,0.011358882300555706,0.014042017981410027,0.0,0.008896348997950554,0.0,0.016705168411135674,0.020519696176052094,0.0,0.002553248777985573,0.0031350115314126015,0.0008316862513311207,0.0,0.008747704327106476,0.018890390172600746,0.003033099230378866,0.0,0.0007014198927208781,0.1030186116695404,0.12625138461589813,0.0,0.5039297938346863,0.0,0.0,0.0016848616069182754,0.009850917384028435,0.0,0.0,0.0,0.003185755107551813,0.0015170651022344828,0.24031466245651245,0.0,0.0051594884134829044,0.021125659346580505,0.2161346971988678,0.0,0.01166662946343422,0.19309888780117035,0.0,0.003398715751245618,0.003607427002862096,0.1132834255695343,0.0,0.147340327501297,0.0038057565689086914,0.26154592633247375,0.03607552498579025,0.010464515537023544,0.04309370741248131,0.0,0.0,0.008182663470506668,0.005745971575379372,0.00013492198195308447,0.02851128578186035,0.0025471828412264585,0.013042960315942764,0.000295006379019469,0.0074295904487371445,0.0018429697956889868,0.24210020899772644,0.03728669881820679,0.0,0.002578062005341053,0.0,0.006762378849089146,0.15478156507015228,0.015263932757079601,0.0061600725166499615,0.0012501026503741741,0.01934143155813217,0.25455009937286377,0.1736382395029068,0.02709074132144451,0.004172816872596741,0.09549394249916077,0.0031880938913673162,0.01399175263941288,0.0022490459959954023,0.011548674665391445,0.07757929712533951,0.14831872284412384,0.025624673813581467,0.0,0.027412492781877518,0.009470549412071705,0.07217025756835938,0.055275093764066696,0.012854194268584251,0.0,0.243486687541008,0.01510850340127945,0.03523406758904457,0.0018445940222591162,0.0,0.007084278389811516,0.11790143698453903,0.0,0.0,0.13371092081069946,0.006723290309309959,0.0,0.0,0.0,0.010956589132547379,0.0,0.013163404539227486,0.0211138017475605,0.0027342485263943672,0.0,0.0004772733082063496,0.039233651012182236,0.004084903281182051,0.0004338009166531265,0.13937941193580627,0.0070353662595152855,0.14453604817390442,0.000619521364569664,0.1961311548948288,0.1464255452156067,0.1656106412410736,0.0,0.004108823835849762,0.0006716835778206587,0.008710852824151516,0.03442203253507614,0.012079861015081406,0.0009862143779173493,0.009038945659995079,0.20437347888946533,0.13272777199745178,0.0023089610040187836,0.005221499130129814,0.0027450856287032366,0.0056046550162136555,0.0,0.0,0.3382045030593872,0.017799846827983856,0.005993426311761141,0.017350686714053154,0.01917702704668045,0.0,0.0015111813554540277,0.0007548047578893602,0.0,0.00242188130505383,0.0,0.0,0.30597829818725586,0.06389664113521576,0.0,0.03420471027493477,0.0,0.0,0.007547080982476473,0.0,0.004080771468579769,0.0,0.026654811576008797,0.03274071216583252,0.04403239116072655,0.0,0.0,0.009615235030651093,0.0,0.357313334941864,0.0584123469889164,0.007343826815485954,0.10541747510433197,0.005363250616937876,0.0024176028091460466,0.07651430368423462,0.0,0.019101351499557495,0.0,0.0,0.2453700751066208,0.00025639525847509503,0.0,0.0,0.06232505291700363,0.0,0.009029809385538101,0.000883442466147244,0.0,0.17296455800533295
